uid,fname,lname,ccode,type,date,conn
jhje,Gretel,Woods,DE,phone,2019-11-05,1
jhje,Gretel,Woods,DE,phone,2019-11-05,2
du43,Jack,Hill,US,desktop,2019-11-04,1
37du,Hansel,Woods,DE,desktop,2019-11-04,1
jhje,Gretel,Woods,DE,phone,2019-11-04,1
jhje,Gretel,Woods,DE,desktop,2019-11-01,1
b4ud,Jill,Hill,US,desktop,2019-11-03,1
b4ud,Jill,Hill,US,phone,2019-11-03,1
jhje,Gretel,Woods,DE,phone,2019-11-05,3
du43,Jack,Hill,US,phone,2019-11-04,1
jhje,Gretel,Woods,DE,desktop,2019-11-04,1
b4ud,Jill,Hill,US,phone,2019-11-03,2
37du,Hansel,Woods,DE,desktop,2019-11-01,1
37du,Hansel,Woods,DE,phone,2019-11-04,1
37du,Hansel,Woods,DE,desktop,2019-11-03,1
b4ud,Jill,Hill,US,phone,2019-11-03,3
du43,Jack,Hill,US,phone,2019-11-01,1
b4ud,Jill,Hill,US,desktop,2019-11-01,1
37du,Hansel,Woods,DE,desktop,2019-11-03,2
du43,Jack,Hill,US,phone,2019-11-04,2
jhje,Gretel,Woods,DE,phone,2019-11-01,1
du43,Jack,Hill,US,phone,2019-11-04,3
37du,Hansel,Woods,DE,phone,2019-11-05,1
du43,Jack,Hill,US,phone,2019-11-04,4
b4ud,Jill,Hill,US,phone,2019-11-02,1
37du,Hansel,Woods,DE,desktop,2019-11-05,1
b4ud,Jill,Hill,US,desktop,2019-11-02,1
37du,Hansel,Woods,DE,desktop,2019-11-03,3
b4ud,Jill,Hill,US,desktop,2019-11-03,2
jhje,Gretel,Woods,DE,desktop,2019-11-01,2
jhje,Gretel,Woods,DE,phone,2019-11-04,2
b4ud,Jill,Hill,US,phone,2019-11-03,4
b4ud,Jill,Hill,US,desktop,2019-11-04,1
jhje,Gretel,Woods,DE,phone,2019-11-01,2
b4ud,Jill,Hill,US,phone,2019-11-04,1
b4ud,Jill,Hill,US,phone,2019-11-02,2
du43,Jack,Hill,US,desktop,2019-11-02,1
du43,Jack,Hill,US,desktop,2019-11-05,1
37du,Hansel,Woods,DE,desktop,2019-11-01,2
37du,Hansel,Woods,DE,phone,2019-11-01,1
jhje,Gretel,Woods,DE,desktop,2019-11-02,1
b4ud,Jill,Hill,US,phone,2019-11-03,5
jhje,Gretel,Woods,DE,phone,2019-11-04,3
du43,Jack,Hill,US,phone,2019-11-02,1
jhje,Gretel,Woods,DE,desktop,2019-11-02,2
du43,Jack,Hill,US,phone,2019-11-02,2
du43,Jack,Hill,US,phone,2019-11-03,1
jhje,Gretel,Woods,DE,desktop,2019-11-05,1
37du,Hansel,Woods,DE,phone,2019-11-01,2
jhje,Gretel,Woods,DE,desktop,2019-11-04,2
